week_number,week_commencing,channel_name,store_id,style_code,description,season,category,colour,size,EAN,sales_units,sales_value,retail_price,cost,returns_units,returns_value,gross_sales_units,gross_sales_value,stock_units,brand,gender,replenishment_units,on_order_units
1,2025-01-06,Very,VRY-001,URB-W-1000,White Top,SS25,Tops,Camel,XXL,5000000100000,3,122.13,40.71,15.21,0,0.0,3,122.13,11,UrbanEdge,Women,32,44
1,2025-01-06,JD Sports,JDS-001,URB-W-1000,White Top,SS25,Tops,Camel,L,5000000100000,2,81.42,40.71,15.21,0,0.0,2,81.42,152,UrbanEdge,Women,45,61
1,2025-01-06,ASOS,ASO-001,URB-W-1000,White Top,SS25,Tops,Camel,XL,5000000100000,2,81.42,40.71,15.21,0,0.0,2,81.42,26,UrbanEdge,Women,5,75
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1000,White Top,SS25,Tops,Camel,S,5000000100000,2,81.42,40.71,15.21,0,0.0,2,81.42,76,UrbanEdge,Women,21,79
1,2025-01-06,Very,VRY-001,URB-W-1001,Blue Top,AW25,Tops,Red,XL,5000000100100,1,62.17,62.17,19.46,0,0.0,1,62.17,170,UrbanEdge,Women,43,20
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1001,Blue Top,AW25,Tops,Red,S,5000000100100,0,0.0,62.17,19.46,0,0.0,0,0.0,152,UrbanEdge,Women,14,5
1,2025-01-06,ASOS,ASO-001,URB-W-1001,Blue Top,AW25,Tops,Red,XL,5000000100100,3,186.51,62.17,19.46,0,0.0,3,186.51,31,UrbanEdge,Women,24,59
1,2025-01-06,Next,NXT-001,URB-W-1001,Blue Top,AW25,Tops,Red,L,5000000100100,4,248.68,62.17,19.46,0,0.0,4,248.68,12,UrbanEdge,Women,18,31
1,2025-01-06,Zalando,ZAL-001,URB-W-1001,Blue Top,AW25,Tops,Red,L,5000000100100,3,186.51,62.17,19.46,0,0.0,3,186.51,117,UrbanEdge,Women,18,68
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1002,Beige Top,AW25,Tops,Black,L,5000000100200,7,641.34,91.62,34.04,0,0.0,7,641.34,50,UrbanEdge,Women,46,94
1,2025-01-06,eBay UK,EBY-001,URB-W-1002,Beige Top,AW25,Tops,Black,XXL,5000000100200,2,183.24,91.62,34.04,0,0.0,2,183.24,129,UrbanEdge,Women,25,41
1,2025-01-06,JD Sports,JDS-001,URB-W-1002,Beige Top,AW25,Tops,Black,XS,5000000100200,0,0.0,91.62,34.04,0,0.0,0,0.0,131,UrbanEdge,Women,26,15
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1003,Camel Top,SS25,Tops,Red,XXL,5000000100300,3,317.94,105.98,37.13,0,0.0,3,317.94,121,UrbanEdge,Women,38,64
1,2025-01-06,eBay UK,EBY-001,URB-W-1003,Camel Top,SS25,Tops,Red,XS,5000000100300,6,635.88,105.98,37.13,0,0.0,6,635.88,142,UrbanEdge,Women,36,84
1,2025-01-06,ASOS,ASO-001,URB-W-1003,Camel Top,SS25,Tops,Red,XS,5000000100300,7,741.86,105.98,37.13,0,0.0,7,741.86,185,UrbanEdge,Women,5,61
1,2025-01-06,Very,VRY-001,URB-W-1003,Camel Top,SS25,Tops,Red,XXL,5000000100300,6,635.88,105.98,37.13,0,0.0,6,635.88,150,UrbanEdge,Women,37,11
1,2025-01-06,Next,NXT-001,URB-W-1003,Camel Top,SS25,Tops,Red,XL,5000000100300,1,105.98,105.98,37.13,0,0.0,1,105.98,12,UrbanEdge,Women,24,34
1,2025-01-06,ASOS,ASO-001,URB-M-1004,Navy Top,AW25,Tops,Pink,M,5000000100400,9,390.06,43.34,13.93,1,43.34,10,433.4,156,UrbanEdge,Men,1,80
1,2025-01-06,Next,NXT-001,URB-M-1004,Navy Top,AW25,Tops,Pink,L,5000000100400,1,43.34,43.34,13.93,0,0.0,1,43.34,59,UrbanEdge,Men,48,62
1,2025-01-06,JD Sports,JDS-001,URB-M-1004,Navy Top,AW25,Tops,Pink,M,5000000100400,1,43.34,43.34,13.93,0,0.0,1,43.34,78,UrbanEdge,Men,24,56
1,2025-01-06,Very,VRY-001,URB-M-1004,Navy Top,AW25,Tops,Pink,XS,5000000100400,3,130.02,43.34,13.93,0,0.0,3,130.02,156,UrbanEdge,Men,44,67
1,2025-01-06,Zalando,ZAL-001,URB-M-1004,Navy Top,AW25,Tops,Pink,S,5000000100400,2,86.68,43.34,13.93,0,0.0,2,86.68,106,UrbanEdge,Men,2,86
1,2025-01-06,Zalando,ZAL-001,URB-M-1005,Grey Top,AW25,Tops,Grey,XXL,5000000100500,2,60.0,30.0,10.94,0,0.0,2,60.0,44,UrbanEdge,Men,48,3
1,2025-01-06,Next,NXT-001,URB-M-1005,Grey Top,AW25,Tops,Grey,XXL,5000000100500,2,60.0,30.0,10.94,0,0.0,2,60.0,89,UrbanEdge,Men,16,41
1,2025-01-06,JD Sports,JDS-001,URB-M-1005,Grey Top,AW25,Tops,Grey,XXL,5000000100500,8,240.0,30.0,10.94,0,0.0,8,240.0,166,UrbanEdge,Men,28,11
1,2025-01-06,ASOS,ASO-001,URB-M-1006,Navy Top,SS26,Tops,Navy,M,5000000100600,2,196.34,98.17,30.49,0,0.0,2,196.34,191,UrbanEdge,Men,3,46
1,2025-01-06,JD Sports,JDS-001,URB-M-1006,Navy Top,SS26,Tops,Navy,M,5000000100600,11,1079.87,98.17,30.49,1,98.17,12,1178.04,69,UrbanEdge,Men,4,45
1,2025-01-06,eBay UK,EBY-001,URB-M-1006,Navy Top,SS26,Tops,Navy,L,5000000100600,6,589.02,98.17,30.49,0,0.0,6,589.02,117,UrbanEdge,Men,15,62
1,2025-01-06,eBay UK,EBY-001,URB-M-1007,Olive Top,SS25,Tops,Camel,XXL,5000000100700,8,485.2,60.65,22.96,0,0.0,8,485.2,87,UrbanEdge,Men,11,34
1,2025-01-06,Zalando,ZAL-001,URB-M-1007,Olive Top,SS25,Tops,Camel,XXL,5000000100700,4,242.6,60.65,22.96,0,0.0,4,242.6,190,UrbanEdge,Men,0,65
1,2025-01-06,ASOS,ASO-001,URB-M-1007,Olive Top,SS25,Tops,Camel,L,5000000100700,5,303.25,60.65,22.96,0,0.0,5,303.25,29,UrbanEdge,Men,26,23
1,2025-01-06,JD Sports,JDS-001,URB-M-1007,Olive Top,SS25,Tops,Camel,XS,5000000100700,4,242.6,60.65,22.96,0,0.0,4,242.6,194,UrbanEdge,Men,7,27
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1007,Olive Top,SS25,Tops,Camel,M,5000000100700,1,60.65,60.65,22.96,0,0.0,1,60.65,180,UrbanEdge,Men,25,70
1,2025-01-06,Very,VRY-001,URB-W-1008,Olive Bottom,SS25,Bottoms,Blue,XXL,5000000100800,7,805.84,115.12,41.46,0,0.0,7,805.84,84,UrbanEdge,Women,29,6
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1008,Olive Bottom,SS25,Bottoms,Blue,L,5000000100800,1,115.12,115.12,41.46,0,0.0,1,115.12,54,UrbanEdge,Women,13,31
1,2025-01-06,eBay UK,EBY-001,URB-W-1008,Olive Bottom,SS25,Bottoms,Blue,XS,5000000100800,8,920.96,115.12,41.46,1,115.12,9,1036.08,149,UrbanEdge,Women,15,27
1,2025-01-06,JD Sports,JDS-001,URB-W-1008,Olive Bottom,SS25,Bottoms,Blue,XS,5000000100800,7,805.84,115.12,41.46,1,115.12,8,920.96,35,UrbanEdge,Women,38,10
1,2025-01-06,Next,NXT-001,URB-W-1008,Olive Bottom,SS25,Bottoms,Blue,S,5000000100800,5,575.6,115.12,41.46,0,0.0,5,575.6,98,UrbanEdge,Women,20,53
1,2025-01-06,Zalando,ZAL-001,URB-W-1008,Olive Bottom,SS25,Bottoms,Blue,XXL,5000000100800,9,1036.08,115.12,41.46,1,115.12,10,1151.2,98,UrbanEdge,Women,42,9
1,2025-01-06,JD Sports,JDS-001,URB-W-1009,Blue Bottom,SS25,Bottoms,Navy,M,5000000100900,3,252.81,84.27,30.48,0,0.0,3,252.81,72,UrbanEdge,Women,4,24
1,2025-01-06,Very,VRY-001,URB-W-1009,Blue Bottom,SS25,Bottoms,Navy,S,5000000100900,2,168.54,84.27,30.48,0,0.0,2,168.54,19,UrbanEdge,Women,14,82
1,2025-01-06,eBay UK,EBY-001,URB-W-1009,Blue Bottom,SS25,Bottoms,Navy,S,5000000100900,3,252.81,84.27,30.48,0,0.0,3,252.81,86,UrbanEdge,Women,22,74
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1009,Blue Bottom,SS25,Bottoms,Navy,XS,5000000100900,6,505.62,84.27,30.48,0,0.0,6,505.62,29,UrbanEdge,Women,39,12
1,2025-01-06,Zalando,ZAL-001,URB-W-1009,Blue Bottom,SS25,Bottoms,Navy,M,5000000100900,0,0.0,84.27,30.48,0,0.0,0,0.0,196,UrbanEdge,Women,6,82
1,2025-01-06,eBay UK,EBY-001,URB-W-1010,Red Bottom,SS25,Bottoms,Olive,XXL,5000000101000,4,68.84,17.21,5.92,0,0.0,4,68.84,24,UrbanEdge,Women,49,19
1,2025-01-06,JD Sports,JDS-001,URB-W-1010,Red Bottom,SS25,Bottoms,Olive,M,5000000101000,9,154.89,17.21,5.92,0,0.0,9,154.89,34,UrbanEdge,Women,45,82
1,2025-01-06,Next,NXT-001,URB-W-1010,Red Bottom,SS25,Bottoms,Olive,L,5000000101000,3,51.63,17.21,5.92,0,0.0,3,51.63,189,UrbanEdge,Women,2,92
1,2025-01-06,Zalando,ZAL-001,URB-W-1011,Red Bottom,SS26,Bottoms,Navy,XS,5000000101100,13,1182.35,90.95,35.86,1,90.95,14,1273.3,45,UrbanEdge,Women,13,88
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1011,Red Bottom,SS26,Bottoms,Navy,XL,5000000101100,4,363.8,90.95,35.86,0,0.0,4,363.8,127,UrbanEdge,Women,32,49
1,2025-01-06,JD Sports,JDS-001,URB-W-1011,Red Bottom,SS26,Bottoms,Navy,XXL,5000000101100,0,0.0,90.95,35.86,0,0.0,0,0.0,26,UrbanEdge,Women,19,41
1,2025-01-06,eBay UK,EBY-001,URB-W-1011,Red Bottom,SS26,Bottoms,Navy,XS,5000000101100,8,727.6,90.95,35.86,1,90.95,9,818.55,109,UrbanEdge,Women,31,80
1,2025-01-06,Very,VRY-001,URB-W-1011,Red Bottom,SS26,Bottoms,Navy,L,5000000101100,1,90.95,90.95,35.86,0,0.0,1,90.95,158,UrbanEdge,Women,17,54
1,2025-01-06,ASOS,ASO-001,URB-W-1011,Red Bottom,SS26,Bottoms,Navy,XS,5000000101100,1,90.95,90.95,35.86,0,0.0,1,90.95,117,UrbanEdge,Women,16,27
1,2025-01-06,eBay UK,EBY-001,URB-M-1012,Olive Bottom,SS25,Bottoms,Red,S,5000000101200,5,175.6,35.12,14.72,0,0.0,5,175.6,99,UrbanEdge,Men,17,58
1,2025-01-06,ASOS,ASO-001,URB-M-1012,Olive Bottom,SS25,Bottoms,Red,XXL,5000000101200,4,140.48,35.12,14.72,0,0.0,4,140.48,29,UrbanEdge,Men,32,26
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1012,Olive Bottom,SS25,Bottoms,Red,L,5000000101200,11,386.32,35.12,14.72,0,0.0,11,386.32,199,UrbanEdge,Men,10,84
1,2025-01-06,Next,NXT-001,URB-M-1012,Olive Bottom,SS25,Bottoms,Red,XL,5000000101200,7,245.84,35.12,14.72,0,0.0,7,245.84,169,UrbanEdge,Men,42,17
1,2025-01-06,JD Sports,JDS-001,URB-M-1012,Olive Bottom,SS25,Bottoms,Red,XXL,5000000101200,2,70.24,35.12,14.72,0,0.0,2,70.24,150,UrbanEdge,Men,17,59
1,2025-01-06,eBay UK,EBY-001,URB-M-1013,Red Bottom,SS25,Bottoms,Pink,XL,5000000101300,7,461.93,65.99,25.58,0,0.0,7,461.93,43,UrbanEdge,Men,1,5
1,2025-01-06,JD Sports,JDS-001,URB-M-1013,Red Bottom,SS25,Bottoms,Pink,S,5000000101300,5,329.95,65.99,25.58,0,0.0,5,329.95,110,UrbanEdge,Men,0,91
1,2025-01-06,ASOS,ASO-001,URB-M-1013,Red Bottom,SS25,Bottoms,Pink,M,5000000101300,11,725.89,65.99,25.58,2,131.98,13,857.87,74,UrbanEdge,Men,8,80
